eccentricity,true_PdE,true_WdE,fit_decay_PdE,fit_prec_wdE,fit_dp_PdE,fit_dp_wdE,logZ_decay,logZ_prec,logZ_dp
0.0,-0.0,0.0,2.2186179209862443e-13,-1.2927989097861649e-08,-1.4902381927902692e-12,-7.468223686461956e-09,-1261.6437247175547,-1254.022034593923,-1255.146821292206
0.0,-0.0,9.999999999999999e-09,-1.7405278352188298e-12,-2.5124464077023905e-08,-2.2738714027485026e-12,-4.322560553875e-10,-1261.6437247175547,-1254.022034593923,-1255.146821292206
0.0,-0.0,1.0000000000000002e-07,-2.4278453506681004e-12,-1.438131730827991e-07,-3.3858952071706312e-12,-8.929108338973477e-08,-1179.18984989766,-1171.6562516640574,-1172.786985548009
0.0,-0.0,1e-06,-4.689229107793472e-13,-3.4093582526054537e-06,-5.181712814270838e-13,-9.92750148358234e-07,-1166.9534876853656,-1159.2390658938452,-1160.6458778422952
0.0,-0.0,1e-05,-4.645182668738201e-12,-1.300850068823843e-05,-7.805019188568432e-12,5.7605512089956514e-05,-1168.326866672295,-1161.5380103144303,-1163.441637984578
0.0,-0.0,9.999999999999999e-05,-3.0688242522164307e-12,-9.900663659140704e-05,-8.025497211470587e-12,0.00012146497173837309,-1345.8712670144719,-1338.9946415219717,-1343.9649690113838
0.0,-1e-12,0.0,-5.459589157151897e-12,-6.944982145077085e-09,-5.801319501000201e-12,-3.618516204258352e-08,-1169.2791325526282,-1164.2830054685028,-1164.5707721318665
0.0,-1e-12,9.999999999999999e-09,-1.6692383392020494e-12,-4.0964736796823506e-08,7.023899423710552e-14,-1.031787837920822e-08,-1169.2791325526282,-1164.2830054685028,-1164.5707721318665
0.0,-1e-12,1.0000000000000002e-07,-1.0313552645582954e-12,-2.177691290329475e-07,-1.0811393306701312e-12,-1.50829793194269e-07,-1229.248876539172,-1221.3747863614064,-1223.1372124235916
0.0,-1e-12,1e-06,-3.4165210853347706e-12,-2.131707906435751e-06,-3.4048294648220202e-12,6.20281182455699e-07,-1203.9688163309308,-1196.6392047755928,-1198.2168552440287
0.0,-1e-12,1e-05,-7.946499011645188e-13,-6.140193772984076e-05,-3.0209394438843087e-12,6.1570030525346406e-06,-1215.1719053705963,-1206.0014209769395,-1209.2504165913692
0.0,-1e-12,9.999999999999999e-05,-3.074846413194282e-12,-0.00010643443703197526,-3.936911820061194e-12,1.7908309956269925e-05,-1149.04757040668,-1142.8626650604806,-1145.5831222104396
0.0,-1e-11,0.0,-2.105171009109948e-11,-2.4624484479166417e-08,-2.181721964474687e-11,-8.445377216963901e-09,-1188.150851168388,-1226.430980784661,-1182.0015568437707
0.0,-1e-11,9.999999999999999e-09,-1.9042956169010105e-11,-2.055182530168239e-08,-1.9935233960117137e-11,1.4998667086119187e-08,-1188.150851168388,-1226.430980784661,-1182.0015568437707
0.0,-1e-11,1.0000000000000002e-07,-2.1558601637557924e-11,3.2349325443870234e-08,-2.20330317428367e-11,9.117464155034853e-09,-1156.3131514648874,-1196.6776974743952,-1151.6588750550245
0.0,-1e-11,1e-06,-1.5860882602156947e-11,-4.046695184407847e-06,-1.468568009050831e-11,1.5018271232440632e-06,-1241.2108103249107,-1255.5089061109843,-1236.0165052924665
0.0,-1e-11,1e-05,-2.3424531640759506e-11,-7.840147925940405e-05,-2.549325567437575e-11,-6.080359488380239e-05,-1204.3949794303558,-1247.7263022711588,-1198.5650235531273
0.0,-1e-11,9.999999999999999e-05,-2.1529383150568987e-11,-4.7948690845184304e-05,-2.3936349206392474e-11,-1.2794677517134409e-05,-1198.311915618302,-1240.5158990365164,-1193.8343577057376
0.0,-1e-10,0.0,-1.9792103886965455e-10,-1.0126518644659009e-08,-1.9713808460281315e-10,1.4438548048883227e-08,-1101.4323080652262,-4975.0852019091635,-1096.6421439702872
0.0,-1e-10,9.999999999999999e-09,-1.969620962964398e-10,-2.447674920961922e-09,-1.967235547740204e-10,3.543859915333847e-08,-1101.4323080652262,-4975.0852019091635,-1096.6421439702872
0.0,-1e-10,1.0000000000000002e-07,-2.0322708299727587e-10,-1.6708061652018903e-07,-2.0325319537525458e-10,-2.912454925950458e-07,-1221.920663857641,-5399.94661229683,-1216.7759075692934
0.0,-1e-10,1e-06,-2.0409401597306184e-10,3.833669630554113e-07,-2.0403278022386542e-10,-1.208262780707508e-06,-1176.2277973372024,-5262.414715242516,-1169.5413358099286
